Tiempo (s),Desplazamiento (m)
0,0.69971
0.01,0.699134
0.02,0.698279
0.03,0.697148
0.04,0.695748
0.05,0.694084
0.06,0.692162
0.07,0.689987
0.08,0.687567
0.09,0.684906
0.1,0.682012
0.11,0.678892
0.12,0.675551
0.13,0.671996
0.14,0.668235
0.15,0.664274
0.16,0.66012
0.17,0.655781
0.18,0.651264
0.19,0.646575
0.2,0.641723
0.21,0.636715
0.22,0.631557
0.23,0.626258
0.24,0.620825
0.25,0.615265
0.26,0.609586
0.27,0.603795
0.28,0.5979
0.29,0.591908
0.3,0.585827
0.31,0.579664
0.32,0.573427
0.33,0.567122
0.34,0.560757
0.35,0.55434
0.36,0.547877
0.37,0.541375
0.38,0.534842
0.39,0.528285
0.4,0.52171
0.41,0.515124
0.42,0.508534
0.43,0.501946
0.44,0.495367
0.45,0.488803
0.46,0.482261
0.47,0.475746
0.48,0.469265
0.49,0.462823
0.5,0.456426
0.51,0.45008
0.52,0.44379
0.53,0.437562
0.54,0.4314
0.55,0.425311
0.56,0.419298
0.57,0.413366
0.58,0.40752
0.59,0.401765
0.6,0.396104
0.61,0.390542
0.62,0.385082
0.63,0.379729
0.64,0.374486
0.65,0.369357
0.66,0.364344
0.67,0.359451
0.68,0.354681
0.69,0.350037
0.7,0.345521
0.71,0.341136
0.72,0.336883
0.73,0.332766
0.74,0.328785
0.75,0.324944
0.76,0.321242
0.77,0.317683
0.78,0.314267
0.79,0.310994
0.8,0.307868
0.81,0.304887
0.82,0.302052
0.83,0.299365
0.84,0.296826
0.85,0.294434
0.86,0.29219
0.87,0.290093
0.88,0.288144
0.89,0.286342
0.9,0.284686
0.91,0.283176
0.92,0.281811
0.93,0.28059
0.94,0.279512
0.95,0.278576
0.96,0.27778
0.97,0.277123
0.98,0.276604
0.99,0.276221
1,0.275972
1.01,0.275856
1.02,0.275869
1.03,0.276011
1.04,0.276279
1.05,0.276671
1.06,0.277184
1.07,0.277817
1.08,0.278566
1.09,0.279429
1.1,0.280404
1.11,0.281487
1.12,0.282676
1.13,0.283968
1.14,0.285361
1.15,0.28685
1.16,0.288434
1.17,0.290109
1.18,0.291872
1.19,0.29372
1.2,0.29565
1.21,0.297659
1.22,0.299743
1.23,0.301899
1.24,0.304124
1.25,0.306415
1.26,0.308768
1.27,0.31118
1.28,0.313648
1.29,0.316168
1.3,0.318738
1.31,0.321353
1.32,0.324011
1.33,0.326708
1.34,0.32944
1.35,0.332206
1.36,0.335001
1.37,0.337822
1.38,0.340666
1.39,0.34353
1.4,0.346411
1.41,0.349305
1.42,0.35221
1.43,0.355122
1.44,0.358039
1.45,0.360958
1.46,0.363875
1.47,0.366788
1.48,0.369693
1.49,0.372589
1.5,0.375473
1.51,0.378342
1.52,0.381192
1.53,0.384023
1.54,0.38683
1.55,0.389613
1.56,0.392368
1.57,0.395094
1.58,0.397787
1.59,0.400446
1.6,0.403069
1.61,0.405654
1.62,0.408198
1.63,0.4107
1.64,0.413159
1.65,0.415571
1.66,0.417937
1.67,0.420253
1.68,0.42252
1.69,0.424734
1.7,0.426895
1.71,0.429001
1.72,0.431052
1.73,0.433046
1.74,0.434982
1.75,0.436859
1.76,0.438676
1.77,0.440432
1.78,0.442127
1.79,0.443759
1.8,0.445329
1.81,0.446835
1.82,0.448277
1.83,0.449655
1.84,0.450969
1.85,0.452217
1.86,0.4534
1.87,0.454518
1.88,0.45557
1.89,0.456557
1.9,0.457479
1.91,0.458335
1.92,0.459126
1.93,0.459853
1.94,0.460515
1.95,0.461112
1.96,0.461646
1.97,0.462117
1.98,0.462525
1.99,0.462871
2,0.463155
2.01,0.463379
2.02,0.463542
2.03,0.463646
2.04,0.463692
2.05,0.46368
2.06,0.463611
2.07,0.463486
2.08,0.463307
2.09,0.463074
2.1,0.462789
2.11,0.462452
2.12,0.462064
2.13,0.461627
2.14,0.461143
2.15,0.460611
2.16,0.460034
2.17,0.459413
2.18,0.458749
2.19,0.458043
2.2,0.457297
2.21,0.456512
2.22,0.45569
2.23,0.454832
2.24,0.453939
2.25,0.453012
2.26,0.452054
2.27,0.451066
2.28,0.450048
2.29,0.449003
2.3,0.447933
2.31,0.446837
2.32,0.445719
2.33,0.444579
2.34,0.443419
2.35,0.44224
2.36,0.441044
2.37,0.439832
2.38,0.438606
2.39,0.437367
2.4,0.436116
2.41,0.434856
2.42,0.433587
2.43,0.43231
2.44,0.431028
2.45,0.429741
2.46,0.428451
2.47,0.427159
2.48,0.425867
2.49,0.424575
2.5,0.423286
2.51,0.421999
2.52,0.420717
2.53,0.419441
2.54,0.418172
2.55,0.41691
2.56,0.415658
2.57,0.414415
2.58,0.413184
2.59,0.411966
2.6,0.41076
2.61,0.409569
2.62,0.408393
2.63,0.407233
2.64,0.406091
2.65,0.404966
2.66,0.40386
2.67,0.402773
2.68,0.401707
2.69,0.400661
2.7,0.399638
2.71,0.398637
2.72,0.397659
2.73,0.396704
2.74,0.395774
2.75,0.394868
2.76,0.393988
2.77,0.393133
2.78,0.392305
2.79,0.391503
2.8,0.390728
2.81,0.389981
2.82,0.389261
2.83,0.388569
2.84,0.387905
2.85,0.387269
2.86,0.386662
2.87,0.386083
2.88,0.385533
2.89,0.385013
2.9,0.384521
2.91,0.384058
2.92,0.383624
2.93,0.383219
2.94,0.382842
2.95,0.382495
2.96,0.382176
2.97,0.381886
2.98,0.381624
2.99,0.381391
3,0.381185
3.01,0.381008
3.02,0.380857
3.03,0.380734
3.04,0.380638
3.05,0.380569
3.06,0.380525
3.07,0.380508
3.08,0.380516
3.09,0.380549
3.1,0.380607
3.11,0.380688
3.12,0.380794
3.13,0.380923
3.14,0.381075
3.15,0.381248
3.16,0.381444
3.17,0.381661
3.18,0.381898
3.19,0.382156
3.2,0.382433
3.21,0.382729
3.22,0.383044
3.23,0.383376
3.24,0.383725
3.25,0.384091
3.26,0.384473
3.27,0.38487
3.28,0.385282
3.29,0.385707
3.3,0.386146
3.31,0.386598
3.32,0.387062
3.33,0.387538
3.34,0.388024
3.35,0.38852
3.36,0.389026
3.37,0.389541
3.38,0.390064
3.39,0.390594
3.4,0.391131
3.41,0.391675
3.42,0.392224
3.43,0.392778
3.44,0.393337
3.45,0.393899
3.46,0.394465
3.47,0.395033
3.48,0.395603
3.49,0.396174
3.5,0.396747
3.51,0.397319
3.52,0.397891
3.53,0.398462
3.54,0.399031
3.55,0.399599
3.56,0.400164
3.57,0.400725
3.58,0.401284
3.59,0.401838
3.6,0.402387
3.61,0.402932
3.62,0.403471
3.63,0.404004
3.64,0.404531
3.65,0.405051
3.66,0.405564
3.67,0.406069
3.68,0.406566
3.69,0.407055
3.7,0.407536
3.71,0.408007
3.72,0.408469
3.73,0.408921
3.74,0.409363
3.75,0.409795
3.76,0.410217
3.77,0.410628
3.78,0.411028
3.79,0.411416
3.8,0.411793
3.81,0.412159
3.82,0.412513
3.83,0.412855
3.84,0.413185
3.85,0.413502
3.86,0.413807
3.87,0.4141
3.88,0.41438
3.89,0.414648
3.9,0.414903
3.91,0.415145
3.92,0.415374
3.93,0.415591
3.94,0.415794
3.95,0.415985
3.96,0.416163
3.97,0.416328
3.98,0.416481
3.99,0.416621
4,0.416748
4.01,0.416862
4.02,0.416965
4.03,0.417054
4.04,0.417132
4.05,0.417197
4.06,0.41725
4.07,0.417292
4.08,0.417321
4.09,0.417339
4.1,0.417346
4.11,0.417341
4.12,0.417325
4.13,0.417298
4.14,0.417261
4.15,0.417213
4.16,0.417155
4.17,0.417087
4.18,0.417009
4.19,0.416921
4.2,0.416824
4.21,0.416718
4.22,0.416603
4.23,0.416479
4.24,0.416347
4.25,0.416207
4.26,0.416059
4.27,0.415904
4.28,0.415741
4.29,0.415571
4.3,0.415395
4.31,0.415212
4.32,0.415023
4.33,0.414828
4.34,0.414627
4.35,0.414421
4.36,0.41421
4.37,0.413994
4.38,0.413774
4.39,0.41355
4.4,0.413321
4.41,0.413089
4.42,0.412854
4.43,0.412616
4.44,0.412375
4.45,0.412131
4.46,0.411886
4.47,0.411638
4.48,0.411389
4.49,0.411138
4.5,0.410887
4.51,0.410634
4.52,0.410381
4.53,0.410128
4.54,0.409874
4.55,0.409621
4.56,0.409368
4.57,0.409116
4.58,0.408865
4.59,0.408615
4.6,0.408366
4.61,0.408119
4.62,0.407874
4.63,0.407631
4.64,0.40739
4.65,0.407151
4.66,0.406916
4.67,0.406683
4.68,0.406453
4.69,0.406226
4.7,0.406003
4.71,0.405783
4.72,0.405567
4.73,0.405354
4.74,0.405146
4.75,0.404942
4.76,0.404742
4.77,0.404547
4.78,0.404356
4.79,0.40417
4.8,0.403988
4.81,0.403812
4.82,0.40364
4.83,0.403474
4.84,0.403312
4.85,0.403156
4.86,0.403005
4.87,0.40286
4.88,0.40272
4.89,0.402585
4.9,0.402456
4.91,0.402333
4.92,0.402215
4.93,0.402103
4.94,0.401996
4.95,0.401895
4.96,0.4018
4.97,0.40171
4.98,0.401626
4.99,0.401548
5,0.401475
5.01,0.401408
5.02,0.401347
5.03,0.401291
5.04,0.401241
5.05,0.401197
5.06,0.401157
5.07,0.401124
5.08,0.401095
5.09,0.401072
5.1,0.401055
5.11,0.401042
5.12,0.401035
5.13,0.401032
5.14,0.401035
5.15,0.401042
5.16,0.401055
5.17,0.401072
5.18,0.401093
5.19,0.40112
5.2,0.40115
5.21,0.401185
5.22,0.401225
5.23,0.401268
5.24,0.401315
5.25,0.401367
5.26,0.401422
5.27,0.401481
5.28,0.401543
5.29,0.401609
5.3,0.401678
5.31,0.401751
5.32,0.401826
5.33,0.401905
5.34,0.401986
5.35,0.40207
5.36,0.402157
5.37,0.402246
5.38,0.402337
5.39,0.402431
5.4,0.402527
5.41,0.402624
5.42,0.402724
5.43,0.402825
5.44,0.402928
5.45,0.403032
5.46,0.403138
5.47,0.403245
5.48,0.403353
5.49,0.403462
5.5,0.403571
5.51,0.403682
5.52,0.403793
5.53,0.403904
5.54,0.404016
5.55,0.404128
5.56,0.40424
5.57,0.404353
5.58,0.404465
5.59,0.404577
5.6,0.404688
5.61,0.4048
5.62,0.40491
5.63,0.40502
5.64,0.40513
5.65,0.405238
5.66,0.405346
5.67,0.405452
5.68,0.405558
5.69,0.405662
5.7,0.405765
5.71,0.405867
5.72,0.405967
5.73,0.406066
5.74,0.406163
5.75,0.406258
5.76,0.406352
5.77,0.406444
5.78,0.406534
5.79,0.406623
5.8,0.406709
5.81,0.406793
5.82,0.406876
5.83,0.406956
5.84,0.407034
5.85,0.407109
5.86,0.407183
5.87,0.407254
5.88,0.407323
5.89,0.40739
5.9,0.407454
5.91,0.407516
5.92,0.407575
5.93,0.407632
5.94,0.407686
5.95,0.407738
5.96,0.407788
5.97,0.407835
5.98,0.407879
5.99,0.407921
6,0.40796
6.01,0.407997
6.02,0.408032
6.03,0.408063
6.04,0.408093
6.05,0.40812
6.06,0.408144
6.07,0.408166
6.08,0.408186
6.09,0.408203
6.1,0.408217
6.11,0.40823
6.12,0.40824
6.13,0.408247
6.14,0.408253
6.15,0.408256
6.16,0.408256
6.17,0.408255
6.18,0.408252
6.19,0.408246
6.2,0.408238
6.21,0.408228
6.22,0.408216
6.23,0.408203
6.24,0.408187
6.25,0.408169
6.26,0.40815
6.27,0.408129
6.28,0.408106
6.29,0.408081
6.3,0.408055
6.31,0.408027
6.32,0.407998
6.33,0.407967
6.34,0.407935
6.35,0.407901
6.36,0.407866
6.37,0.40783
6.38,0.407793
6.39,0.407754
6.4,0.407715
6.41,0.407674
6.42,0.407633
6.43,0.40759
6.44,0.407547
6.45,0.407503
6.46,0.407458
6.47,0.407412
6.48,0.407366
6.49,0.407319
6.5,0.407272
6.51,0.407224
6.52,0.407176
6.53,0.407127
6.54,0.407078
6.55,0.407029
6.56,0.406979
6.57,0.40693
6.58,0.40688
6.59,0.406831
6.6,0.406781
6.61,0.406731
6.62,0.406682
6.63,0.406632
6.64,0.406583
6.65,0.406534
6.66,0.406485
6.67,0.406437
6.68,0.406389
6.69,0.406341
6.7,0.406294
6.71,0.406248
6.72,0.406201
6.73,0.406156
6.74,0.406111
6.75,0.406067
6.76,0.406023
6.77,0.40598
6.78,0.405938
6.79,0.405896
6.8,0.405856
6.81,0.405816
6.82,0.405777
6.83,0.405739
6.84,0.405701
6.85,0.405665
6.86,0.40563
6.87,0.405595
6.88,0.405562
6.89,0.405529
6.9,0.405498
6.91,0.405467
6.92,0.405438
6.93,0.40541
6.94,0.405383
6.95,0.405356
6.96,0.405331
6.97,0.405307
6.98,0.405284
6.99,0.405263
7,0.405242
7.01,0.405222
7.02,0.405204
7.03,0.405187
7.04,0.40517
7.05,0.405155
7.06,0.405141
7.07,0.405128
7.08,0.405117
7.09,0.405106
7.1,0.405096
7.11,0.405088
7.12,0.40508
7.13,0.405074
7.14,0.405069
7.15,0.405064
7.16,0.405061
7.17,0.405059
7.18,0.405058
7.19,0.405057
7.2,0.405058
7.21,0.40506
7.22,0.405062
7.23,0.405066
7.24,0.40507
7.25,0.405076
7.26,0.405082
7.27,0.405089
7.28,0.405097
7.29,0.405105
7.3,0.405115
7.31,0.405125
7.32,0.405136
7.33,0.405148
7.34,0.40516
7.35,0.405173
7.36,0.405187
7.37,0.405201
7.38,0.405216
7.39,0.405232
7.4,0.405248
7.41,0.405264
7.42,0.405281
7.43,0.405299
7.44,0.405317
7.45,0.405335
7.46,0.405354
7.47,0.405374
7.48,0.405393
7.49,0.405413
7.5,0.405433
7.51,0.405454
7.52,0.405475
7.53,0.405496
7.54,0.405517
7.55,0.405538
7.56,0.40556
7.57,0.405581
7.58,0.405603
7.59,0.405625
7.6,0.405647
7.61,0.405669
7.62,0.405691
7.63,0.405713
7.64,0.405735
7.65,0.405757
7.66,0.405779
7.67,0.405801
7.68,0.405822
7.69,0.405844
7.7,0.405865
7.71,0.405887
7.72,0.405908
7.73,0.405928
7.74,0.405949
7.75,0.405969
7.76,0.40599
7.77,0.40601
7.78,0.406029
7.79,0.406048
7.8,0.406067
7.81,0.406086
7.82,0.406104
7.83,0.406122
7.84,0.40614
7.85,0.406157
7.86,0.406174
7.87,0.406191
7.88,0.406207
7.89,0.406222
7.9,0.406237
7.91,0.406252
7.92,0.406266
7.93,0.40628
7.94,0.406294
7.95,0.406307
7.96,0.406319
7.97,0.406331
7.98,0.406343
7.99,0.406354
8,0.406364
8.01,0.406374
8.02,0.406384
8.03,0.406393
8.04,0.406402
8.05,0.40641
8.06,0.406417
8.07,0.406425
8.08,0.406431
8.09,0.406437
8.1,0.406443
8.11,0.406448
8.12,0.406453
8.13,0.406457
8.14,0.406461
8.15,0.406464
8.16,0.406467
8.17,0.406469
8.18,0.406471
8.19,0.406472
8.2,0.406473
8.21,0.406474
8.22,0.406474
8.23,0.406474
8.24,0.406473
8.25,0.406472
8.26,0.40647
8.27,0.406468
8.28,0.406466
8.29,0.406463
8.3,0.40646
8.31,0.406456
8.32,0.406452
8.33,0.406448
8.34,0.406443
8.35,0.406439
8.36,0.406433
8.37,0.406428
8.38,0.406422
8.39,0.406416
8.4,0.40641
8.41,0.406403
8.42,0.406396
8.43,0.406389
8.44,0.406382
8.45,0.406374
8.46,0.406366
8.47,0.406358
8.48,0.40635
8.49,0.406342
8.5,0.406333
8.51,0.406324
8.52,0.406316
8.53,0.406307
8.54,0.406297
8.55,0.406288
8.56,0.406279
8.57,0.40627
8.58,0.40626
8.59,0.40625
8.6,0.406241
8.61,0.406231
8.62,0.406222
8.63,0.406212
8.64,0.406202
8.65,0.406192
8.66,0.406183
8.67,0.406173
8.68,0.406163
8.69,0.406153
8.7,0.406144
8.71,0.406134
8.72,0.406125
8.73,0.406115
8.74,0.406106
8.75,0.406096
8.76,0.406087
8.77,0.406078
8.78,0.406069
8.79,0.40606
8.8,0.406051
8.81,0.406043
8.82,0.406034
8.83,0.406026
8.84,0.406018
8.85,0.406009
8.86,0.406002
8.87,0.405994
8.88,0.405986
8.89,0.405979
8.9,0.405971
8.91,0.405964
8.92,0.405957
8.93,0.405951
8.94,0.405944
8.95,0.405938
8.96,0.405932
8.97,0.405926
8.98,0.40592
8.99,0.405915
9,0.405909
9.01,0.405904
9.02,0.405899
9.03,0.405895
9.04,0.40589
9.05,0.405886
9.06,0.405882
9.07,0.405878
9.08,0.405875
9.09,0.405871
9.1,0.405868
9.11,0.405865
9.12,0.405863
9.13,0.40586
9.14,0.405858
9.15,0.405856
9.16,0.405854
9.17,0.405852
9.18,0.405851
9.19,0.40585
9.2,0.405849
9.21,0.405848
9.22,0.405847
9.23,0.405847
9.24,0.405847
9.25,0.405847
9.26,0.405847
9.27,0.405847
9.28,0.405848
9.29,0.405848
9.3,0.405849
9.31,0.40585
9.32,0.405852
9.33,0.405853
9.34,0.405855
9.35,0.405856
9.36,0.405858
9.37,0.40586
9.38,0.405863
9.39,0.405865
9.4,0.405867
9.41,0.40587
9.42,0.405873
9.43,0.405875
9.44,0.405878
9.45,0.405881
9.46,0.405885
9.47,0.405888
9.48,0.405891
9.49,0.405895
9.5,0.405898
9.51,0.405902
9.52,0.405906
9.53,0.405909
9.54,0.405913
9.55,0.405917
9.56,0.405921
9.57,0.405925
9.58,0.405929
9.59,0.405933
9.6,0.405938
9.61,0.405942
9.62,0.405946
9.63,0.40595
9.64,0.405955
9.65,0.405959
9.66,0.405963
9.67,0.405968
9.68,0.405972
9.69,0.405976
9.7,0.40598
9.71,0.405985
9.72,0.405989
9.73,0.405993
9.74,0.405998
9.75,0.406002
9.76,0.406006
9.77,0.40601
9.78,0.406014
9.79,0.406018
9.8,0.406022
9.81,0.406026
9.82,0.40603
9.83,0.406034
9.84,0.406038
9.85,0.406042
9.86,0.406046
9.87,0.406049
9.88,0.406053
9.89,0.406056
9.9,0.40606
9.91,0.406063
9.92,0.406066
9.93,0.40607
9.94,0.406073
9.95,0.406076
9.96,0.406079
9.97,0.406082
9.98,0.406084
